@relation heroes

@attribute index numeric
@attribute name {A-Bomb,'Abe Sapien','Abin Sur',Abomination,'Absorbing Man','Adam Strange','Agent 13','Agent Bob','Agent Zero',Air-Walker,Ajax,'Alan Scott','Alfred Pennyworth',Alien,Amazo,Ammo,Angel,'Angel Dust','Angel Salvadore','Animal Man',Annihilus,Ant-Man,'Ant-Man II',Anti-Venom,Apocalypse,Aqualad,Aquaman,Arachne,Archangel,Arclight,Ardina,Ares,Ariel,Armor,Atlas,Atom,'Atom Girl','Atom II',Aurora,Azazel,Bane,Banshee,Bantam,Batgirl,'Batgirl IV','Batgirl VI',Batman,'Batman II',Battlestar,Beak,Beast,'Beast Boy','Beta Ray Bill','Big Barda','Big Man',Binary,Bishop,Bizarro,'Black Adam','Black Bolt','Black Canary','Black Cat','Black Knight III','Black Lightning','Black Mamba','Black Manta','Black Panther','Black Widow','Black Widow II',Blackout,Blackwing,Blackwulf,Blade,Bling!,Blink,'Blizzard II',Blob,Bloodaxe,'Blue Beetle II',Boom-Boom,'Booster Gold','Box III',Brainiac,'Brainiac 5','Brother Voodoo',Buffy,Bullseye,Bumblebee,Cable,Callisto,Cannonball,'Captain America','Captain Atom','Captain Britain','Captain Mar-vell','Captain Marvel','Captain Marvel II',Carnage,Cat,Catwoman,'Cecilia Reyes',Century,Chamber,Changeling,Cheetah,'Cheetah II','Cheetah III',Chromos,'Citizen Steel',Cloak,'Clock King',Colossus,Copycat,Corsair,Cottonmouth,'Crimson Dynamo',Crystal,Cyborg,Cyclops,Cypher,Dagger,Daredevil,Darkhawk,Darkseid,Darkstar,'Darth Vader',Dash,Dazzler,Deadman,Deadpool,Deadshot,Deathlok,Deathstroke,Demogoblin,Destroyer,Diamondback,'Doc Samson','Doctor Doom','Doctor Doom II','Doctor Fate','Doctor Octopus','Doctor Strange',Domino,'Donna Troy',Doomsday,Doppelganger,'Drax the Destroyer',Elastigirl,Electro,Elektra,'Elongated Man','Emma Frost',Enchantress,Etrigan,'Evil Deadpool',Evilhawk,Exodus,'Fabian Cortez',Falcon,Feral,'Fin Fang Foom',Firebird,Firelord,Firestar,Firestorm,Flash,'Flash II','Flash III','Flash IV',Forge,'Franklin Richards','Franklin Storm',Frenzy,Frigga,Galactus,Gambit,Gamora,Genesis,'Ghost Rider',Giganta,Gladiator,'Goblin Queen',Goku,'Goliath IV','Gorilla Grodd','Granny Goodness',Gravity,'Green Arrow','Green Goblin','Green Goblin II','Green Goblin III','Green Goblin IV',Groot,'Guy Gardner','Hal Jordan','Han Solo','Harley Quinn',Havok,Hawk,Hawkeye,'Hawkeye II',Hawkgirl,Hawkman,Hawkwoman,'Hawkwoman III','Heat Wave',Hela,Hellboy,Hellcat,Hellstorm,Hercules,Hobgoblin,'Hope Summers','Howard the Duck',Hulk,'Human Torch',Huntress,Husk,Hybrid,Hydro-Man,Hyperion,Iceman,Impulse,'Indiana Jones',Ink,'Invisible Woman','Iron Fist','Iron Man','Jack of Hearts',Jack-Jack,'James T. Kirk','Jean Grey','Jennifer Kale','Jessica Jones',Jigsaw,'John Stewart','John Wraith',Joker,Jolt,Jubilee,Juggernaut,Justice,Kang,'Karate Kid','Killer Croc',Kilowog,Kingpin,Klaw,'Kraven II','Kraven the Hunter',Krypto,'Kyle Rayner','Lady Deathstrike',Leader,Legion,'Lex Luthor','Light Lass','Lightning Lad','Lightning Lord','Living Brain',Lizard,Lobo,Loki,Longshot,'Luke Cage','Luke Skywalker',Mach-IV,'Machine Man',Magneto,Man-Thing,Man-Wolf,Mandarin,Mantis,'Martian Manhunter','Marvel Girl','Master Brood',Maverick,Maxima,Medusa,Meltdown,Mephisto,Mera,Metallo,Metamorpho,Metron,'Micro Lad',Mimic,'Miss Martian','Mister Fantastic','Mister Freeze','Mister Sinister',Mockingbird,MODOK,'Molten Man',Monarch,'Moon Knight',Moonstone,Morlun,Morph,'Moses Magnum','Mr Immortal','Mr Incredible','Ms Marvel II','Multiple Man',Mysterio,Mystique,Namor,Namora,Namorita,'Naruto Uzumaki',Nebula,'Nick Fury',Nightcrawler,Nightwing,Northstar,Nova,Odin,'Omega Red',Omniscient,'One Punch Man',Onslaught,Oracle,'Paul Blart','Penance II',Penguin,'Phantom Girl',Phoenix,Plantman,'Plastic Man',Plastique,'Poison Ivy',Polaris,'Power Girl',Predator,'Professor X','Professor Zoom',Psylocke,Punisher,'Purple Man',Pyro,Question,Quicksilver,Quill,'Raunknowns Al Ghul',Rambo,Raven,Ray,'Razor-Fist II','Red Arrow','Red Hood','Red Hulk','Red Robin','Red Skull','Red Tornado',Rhino,'Rick Flag',Ripcord,Robin,'Robin II','Robin III','Robin V','Rocket Raccoon',Rogue,Ronin,Rorschach,Sabretooth,Sage,Sandman,Sasquatch,Scarecrow,'Scarlet Spider','Scarlet Spider II','Scarlet Witch',Scorpion,Sentry,'Shadow King','Shadow Lass',Shadowcat,Shang-Chi,Shatterstar,She-Hulk,She-Thing,Shocker,Shriek,Sif,'Silver Surfer',Silverclaw,Sinestro,Siren,Siryn,Skaar,Snowbird,'Solomon Grundy',Songbird,'Space Ghost',Spawn,Spider-Girl,Spider-Gwen,Spider-Man,Spider-Woman,'Spider-Woman III','Spider-Woman IV',Spock,Spyke,Star-Lord,Starfire,Stargirl,Static,Steel,Steppenwolf,Storm,Sunspot,Superboy,Superboy-Prime,Supergirl,Superman,Swarm,Synch,T-1000,Taskmaster,Tempest,Thanos,'The Comedian',Thing,Thor,'Thor Girl',Thunderbird,'Thunderbird III',Thunderstrike,Thundra,'Tiger Shark',Tigra,Tinkerer,Toad,Toxin,Trickster,'Triplicate Girl',Triton,Two-Face,Ultragirl,Ultron,Utgard-Loki,Vagabond,'Valerie Hart',Valkyrie,Vanisher,Vegeta,Venom,'Venom II','Venom III','Vertigo II',Vibe,Vindicator,'Violet Parr',Vision,'Vision II',Vixen,Vulture,Walrus,'War Machine',Warbird,Warlock,Warp,Warpath,Wasp,'White Queen','Winter Soldier','Wiz Kid',Wolfsbane,Wolverine,'Wonder Girl','Wonder Man','Wonder Woman','Wyatt Wingfoot',X-23,X-Man,'Yellow Claw',Yellowjacket,'Yellowjacket II',Yoda,Zatanna,Zoom}
@attribute Gender {Male,Female,-}
@attribute 'Eye color' {yellow,blue,green,brown,-,red,violet,white,purple,black,silver,grey,'yellow (without irises)',gold,'blue / white',hazel,'green / blue','white / red',indigo,amber,'yellow / blue'}
@attribute Race {Human,'Icthyo Sapien',Ungaran,'Human / Radiation',-,Cyborg,'Xenomorph XX121',Android,Mutant,Symbiote,Atlantean,Alien,'God / Eternal',Neyaphem,'New God',Bizarro,Inhuman,Metahuman,Demon,Vampire,Human-Kree,Amazon,'Human / Altered',Kakarantharaian,'Cosmic Entity',Zen-Whoberian,Strontian,Saiyan,Gorilla,'Flora Colossus',Human-Vuldarian,Asgardian,Demi-God,Eternal,Bolovaxian,Kryptonian,Czarnian,Martian,Luphomoid,'Human / Cosmic',Yautja,Animal,Clone,Talokite,Korugaran,Zombie,Human-Vulcan,Human-Spartoi,Tamaranean,'Frost Giant','Mutant / Clone','Yodaunknowns species'}
@attribute 'Hair color' {'No Hair',Blond,Brown,-,White,Black,Purple,Orange,Pink,Red,Auburn,'Strawberry Blond',black,Blue,Green,Magenta,'Brown / White',blond,Silver,'Red / Grey',Grey,'Orange / White',Yellow,Brownn,Gold,'Red / Orange',Indigo,'Red / White','Black / Blue'}
@attribute Height numeric
@attribute Publisher {'Marvel Comics','Dark Horse Comics','DC Comics','Team Epic TV','George Lucas',Shueisha,'Star Trek','Sony Pictures',-,'Image Comics'}
@attribute 'Skin color' {-,blue,red,black,grey,gold,green,white,pink,silver,yellow,purple,blue-white,orange}
@attribute Alignment {good,bad,-,neutral}
@attribute Weight numeric

@data
0,A-Bomb,Male,yellow,Human,'No Hair',203,'Marvel Comics',-,good,441
1,'Abe Sapien',Male,blue,'Icthyo Sapien','No Hair',191,'Dark Horse Comics',blue,good,65
2,'Abin Sur',Male,blue,Ungaran,'No Hair',185,'DC Comics',red,good,90
3,Abomination,Male,green,'Human / Radiation','No Hair',203,'Marvel Comics',-,bad,441
5,'Absorbing Man',Male,blue,Human,'No Hair',193,'Marvel Comics',-,bad,122
7,'Adam Strange',Male,blue,Human,Blond,185,'DC Comics',-,good,88
8,'Agent 13',Female,blue,-,Blond,173,'Marvel Comics',-,good,61
9,'Agent Bob',Male,brown,Human,Brown,178,'Marvel Comics',-,good,81
10,'Agent Zero',Male,-,-,-,191,'Marvel Comics',-,good,104
11,Air-Walker,Male,blue,-,White,188,'Marvel Comics',-,bad,108
12,Ajax,Male,brown,Cyborg,Black,193,'Marvel Comics',-,bad,90
13,'Alan Scott',Male,blue,-,Blond,180,'DC Comics',-,good,90
16,'Alfred Pennyworth',Male,blue,Human,Black,178,'DC Comics',-,good,72
17,Alien,Male,-,'Xenomorph XX121','No Hair',244,'Dark Horse Comics',black,bad,169
19,Amazo,Male,red,Android,-,257,'DC Comics',-,bad,173
20,Ammo,Male,brown,Human,Black,188,'Marvel Comics',-,bad,101
22,Angel,Male,blue,-,Blond,183,'Marvel Comics',-,good,68
24,'Angel Dust',Female,yellow,Mutant,Black,165,'Marvel Comics',-,good,57
25,'Angel Salvadore',Female,brown,-,Black,163,'Marvel Comics',-,good,54
27,'Animal Man',Male,blue,Human,Blond,183,'DC Comics',-,good,83
28,Annihilus,Male,green,-,'No Hair',180,'Marvel Comics',-,bad,90
29,Ant-Man,Male,blue,Human,Blond,211,'Marvel Comics',-,good,122
30,'Ant-Man II',Male,blue,Human,Blond,183,'Marvel Comics',-,good,86
33,Anti-Venom,Male,blue,Symbiote,Blond,229,'Marvel Comics',-,-,358
34,Apocalypse,Male,red,Mutant,Black,213,'Marvel Comics',grey,bad,135
36,Aqualad,Male,blue,Atlantean,Black,178,'DC Comics',-,good,106
37,Aquaman,Male,blue,Atlantean,Blond,185,'DC Comics',-,good,146
38,Arachne,Female,blue,Human,Blond,175,'Marvel Comics',-,good,63
39,Archangel,Male,blue,Mutant,Blond,183,'Marvel Comics',blue,good,68
40,Arclight,Female,violet,-,Purple,173,'Marvel Comics',-,bad,57
41,Ardina,Female,white,Alien,Orange,193,'Marvel Comics',gold,good,98
42,Ares,Male,brown,-,Brown,185,'Marvel Comics',-,good,270
43,Ariel,Female,purple,-,Pink,165,'Marvel Comics',-,good,59
44,Armor,Female,black,-,Black,163,'Marvel Comics',-,good,50
47,Atlas,Male,brown,Mutant,Red,183,'Marvel Comics',-,good,101
48,Atlas,Male,blue,'God / Eternal',Brown,198,'DC Comics',-,bad,126
49,Atom,Male,blue,-,Red,178,'DC Comics',-,good,68
51,'Atom Girl',Female,black,-,Black,168,'DC Comics',-,good,54
52,'Atom II',Male,brown,Human,Auburn,183,'DC Comics',-,good,81
55,Aurora,Female,blue,Mutant,Black,180,'Marvel Comics',-,good,63
56,Azazel,Male,yellow,Neyaphem,Black,183,'Marvel Comics',red,bad,67
59,Bane,Male,-,Human,-,203,'DC Comics',-,bad,180
60,Banshee,Male,green,Human,'Strawberry Blond',183,'Marvel Comics',-,good,77
61,Bantam,Male,brown,-,Black,165,'Marvel Comics',-,good,54
63,Batgirl,Female,green,Human,Red,170,'DC Comics',-,good,57
65,'Batgirl IV',Female,green,Human,Black,165,'DC Comics',-,good,52
67,'Batgirl VI',Female,blue,-,Blond,168,'DC Comics',-,good,61
68,Batman,Male,blue,Human,black,188,'DC Comics',-,good,95
69,Batman,Male,blue,Human,Black,178,'DC Comics',-,good,77
70,'Batman II',Male,blue,Human,Black,178,'DC Comics',-,good,79
71,Battlestar,Male,brown,-,Black,198,'Marvel Comics',-,good,133
73,Beak,Male,black,-,White,175,'Marvel Comics',-,good,63
74,Beast,Male,blue,Mutant,Blue,180,'Marvel Comics',blue,good,181
75,'Beast Boy',Male,green,Human,Green,173,'DC Comics',green,good,68
78,'Beta Ray Bill',Male,-,-,'No Hair',201,'Marvel Comics',-,good,216
80,'Big Barda',Female,blue,'New God',Black,188,'DC Comics',-,bad,135
82,'Big Man',Male,blue,-,Brown,165,'Marvel Comics',-,bad,71
85,Binary,Female,blue,-,Blond,180,'Marvel Comics',-,good,54
91,Bishop,Male,brown,Mutant,'No Hair',198,'Marvel Comics',-,good,124
92,Bizarro,Male,black,Bizarro,Black,191,'DC Comics',white,neutral,155
94,'Black Adam',Male,brown,-,Black,191,'DC Comics',-,bad,113
95,'Black Bolt',Male,blue,Inhuman,Black,188,'Marvel Comics',-,good,95
96,'Black Canary',Female,blue,Human,Blond,165,'DC Comics',-,good,58
97,'Black Canary',Female,blue,Metahuman,Blond,170,'DC Comics',-,good,59
98,'Black Cat',Female,green,Human,Blond,178,'Marvel Comics',-,good,54
101,'Black Knight III',Male,brown,Human,Brown,183,'Marvel Comics',-,good,86
102,'Black Lightning',Male,brown,-,'No Hair',185,'DC Comics',-,good,90
103,'Black Mamba',Female,green,-,Black,170,'Marvel Comics',-,bad,52
104,'Black Manta',Male,black,Human,'No Hair',188,'DC Comics',-,bad,92
105,'Black Panther',Male,brown,Human,Black,183,'Marvel Comics',-,good,90
106,'Black Widow',Female,green,Human,Auburn,170,'Marvel Comics',-,good,59
107,'Black Widow II',Female,blue,-,Blond,170,'Marvel Comics',-,good,61
108,Blackout,Male,red,Demon,White,191,'Marvel Comics',white,bad,104
109,Blackwing,Male,blue,-,Black,185,'Marvel Comics',-,bad,86
110,Blackwulf,Male,red,Alien,White,188,'Marvel Comics',-,-,88
111,Blade,Male,brown,Vampire,Black,188,'Marvel Comics',-,good,97
113,Bling!,Female,-,-,-,168,'Marvel Comics',-,good,68
114,Blink,Female,green,Mutant,Magenta,165,'Marvel Comics',pink,good,56
117,'Blizzard II',Male,brown,-,Brown,175,'Marvel Comics',-,bad,77
118,Blob,Male,brown,-,Brown,178,'Marvel Comics',-,bad,230
119,Bloodaxe,Female,blue,Human,Brown,218,'Marvel Comics',-,bad,495
124,'Blue Beetle II',Male,blue,-,Brown,183,'DC Comics',-,good,86
129,Boom-Boom,Female,blue,Mutant,Blond,165,'Marvel Comics',-,good,55
131,'Booster Gold',Male,blue,Human,Blond,196,'DC Comics',-,good,97
133,'Box III',-,blue,-,Blond,193,'Marvel Comics',-,good,110
135,Brainiac,Male,green,Android,'No Hair',198,'DC Comics',green,bad,135
136,'Brainiac 5',Male,green,-,Blond,170,'DC Comics',-,good,61
137,'Brother Voodoo',Male,brown,Human,'Brown / White',183,'Marvel Comics',-,good,99
139,Buffy,Female,green,Human,Blond,157,'Dark Horse Comics',-,good,52
140,Bullseye,Male,blue,Human,blond,183,'Marvel Comics',-,bad,90
141,Bumblebee,Female,brown,Human,Black,170,'DC Comics',-,good,59
144,Cable,Male,blue,Mutant,White,203,'Marvel Comics',-,good,158
145,Callisto,Female,blue,-,Black,175,'Marvel Comics',-,bad,74
147,Cannonball,Male,blue,-,Blond,183,'Marvel Comics',-,good,81
148,'Captain America',Male,blue,Human,blond,188,'Marvel Comics',-,good,108
149,'Captain Atom',Male,blue,'Human / Radiation',Silver,193,'DC Comics',silver,good,90
150,'Captain Britain',Male,blue,Human,Blond,198,'Marvel Comics',-,good,116
154,'Captain Mar-vell',Male,blue,-,Blond,188,'Marvel Comics',-,good,108
155,'Captain Marvel',Female,blue,Human-Kree,Blond,180,'Marvel Comics',-,good,74
156,'Captain Marvel',Male,blue,Human,Black,193,'DC Comics',-,good,101
157,'Captain Marvel II',Male,blue,Human,Black,175,'DC Comics',-,good,74
161,Carnage,Male,green,Symbiote,Red,185,'Marvel Comics',-,bad,86
162,Cat,Female,blue,-,Blond,173,'Marvel Comics',-,good,61
164,Catwoman,Female,green,Human,Black,175,'DC Comics',-,good,61
165,'Cecilia Reyes',-,brown,-,Brown,170,'Marvel Comics',-,good,62
166,Century,Male,white,Alien,White,201,'Marvel Comics',grey,good,97
168,Chamber,Male,brown,Mutant,Brown,175,'Marvel Comics',-,good,63
170,Changeling,Male,brown,-,Black,180,'Marvel Comics',-,bad,81
171,Cheetah,Female,green,Human,Blond,163,'DC Comics',-,bad,50
172,'Cheetah II',Female,green,Human,Brown,170,'DC Comics',-,bad,55
173,'Cheetah III',Female,brown,Human,Brown,175,'DC Comics',-,bad,54
174,Chromos,Male,brown,-,'Red / Grey',185,'Team Epic TV',-,bad,86
176,'Citizen Steel',Male,green,Human,Red,183,'DC Comics',-,good,170
179,Cloak,Male,brown,-,black,226,'Marvel Comics',-,good,70
180,'Clock King',Male,blue,Human,Black,178,'DC Comics',-,bad,78
184,Colossus,Male,silver,Mutant,Black,226,'Marvel Comics',-,good,225
185,Copycat,Female,red,Mutant,White,183,'Marvel Comics',blue,neutral,67
186,Corsair,Male,brown,-,Brown,191,'Marvel Comics',-,good,79
187,Cottonmouth,Male,brown,Human,Black,183,'Marvel Comics',-,bad,99
189,'Crimson Dynamo',Male,brown,-,'No Hair',180,'Marvel Comics',-,good,104
190,Crystal,Female,green,Inhuman,Red,168,'Marvel Comics',-,good,50
193,Cyborg,Male,brown,Cyborg,Black,198,'DC Comics',-,good,173
195,Cyclops,Male,brown,Mutant,Brown,191,'Marvel Comics',-,good,88
196,Cypher,-,blue,-,Blond,175,'Marvel Comics',-,good,68
197,Dagger,Female,blue,-,Blond,165,'Marvel Comics',-,good,52
200,Daredevil,Male,blue,Human,Red,183,'Marvel Comics',-,good,90
201,Darkhawk,Male,brown,Human,Brown,185,'Marvel Comics',-,good,81
203,Darkseid,Male,red,'New God','No Hair',267,'DC Comics',grey,bad,817
205,Darkstar,Female,brown,Mutant,Blond,168,'Marvel Comics',-,good,56
207,'Darth Vader',Male,yellow,Cyborg,'No Hair',198,'George Lucas',-,bad,135
208,Dash,Male,blue,Human,Blond,122,'Dark Horse Comics',-,good,27
210,Dazzler,Female,blue,Mutant,Blond,173,'Marvel Comics',-,good,52
211,Deadman,Male,blue,Human,Black,183,'DC Comics',-,good,90
212,Deadpool,Male,brown,Mutant,'No Hair',188,'Marvel Comics',-,neutral,95
213,Deadshot,Male,brown,Human,Brown,185,'DC Comics',-,bad,91
214,Deathlok,Male,brown,Cyborg,Grey,193,'Marvel Comics',-,good,178
215,Deathstroke,Male,blue,Human,White,193,'DC Comics',-,neutral,101
216,Demogoblin,Male,red,Demon,'No Hair',185,'Marvel Comics',-,bad,95
217,Destroyer,Male,-,-,-,188,'Marvel Comics',-,bad,383
218,Diamondback,Male,brown,Human,Black,193,'Marvel Comics',-,bad,90
220,'Doc Samson',Male,blue,'Human / Radiation',Green,198,'Marvel Comics',-,good,171
221,'Doctor Doom',Male,brown,Human,Brown,201,'Marvel Comics',-,bad,187
222,'Doctor Doom II',Male,brown,-,Brown,201,'Marvel Comics',-,bad,132
223,'Doctor Fate',Male,blue,Human,Blond,188,'DC Comics',-,good,89
224,'Doctor Octopus',Male,brown,Human,Brown,175,'Marvel Comics',-,bad,110
225,'Doctor Strange',Male,grey,Human,Black,188,'Marvel Comics',-,good,81
226,Domino,Female,blue,Human,Black,173,'Marvel Comics',white,good,54
228,'Donna Troy',Female,blue,Amazon,Black,175,'DC Comics',-,good,63
229,Doomsday,Male,red,Alien,White,244,'DC Comics',-,bad,412
230,Doppelganger,Male,white,-,'No Hair',196,'Marvel Comics',-,bad,104
233,'Drax the Destroyer',Male,red,'Human / Altered','No Hair',193,'Marvel Comics',green,good,306
235,Elastigirl,Female,brown,Human,Brown,168,'Dark Horse Comics',-,good,56
236,Electro,Male,blue,Human,Auburn,180,'Marvel Comics',-,bad,74
237,Elektra,Female,blue,Human,Black,175,'Marvel Comics',-,good,59
